country,Id,YEAR,cequ,dtax
AUT,25998L,2000,,
AUT,25998L,2001,,
AUT,25998L,2002,,
AUT,25998L,2003,,
AUT,25998L,2004,,
AUT,25998L,2005,,
AUT,25998L,2006,,
AUT,25998L,2007,,
AUT,25998L,2008,,
AUT,25998L,2009,,
AUT,25998L,2010,,
AUT,25998L,2011,,
AUT,25998L,2012,,
AUT,25998L,2013,,
AUT,25998L,2014,,
AUT,25998L,2015,,
AUT,25998L,2016,,
AUT,25998L,2017,,
AUT,25998L,2018,,
AUT,263391,1980,,
AUT,263391,1981,,
AUT,263391,1982,,
AUT,263391,1983,,
AUT,263391,1984,,
AUT,263391,1985,,
AUT,263391,1986,,
AUT,263391,1987,,
AUT,263391,1988,,
AUT,263391,1989,,
AUT,263391,1990,,
AUT,263391,1991,,
AUT,263391,1992,,
AUT,263391,1993,,
AUT,263391,1994,,
AUT,263391,1995,,
AUT,263391,1996,,
AUT,263391,1997,,
AUT,263391,1998,,
AUT,263391,1999,,
AUT,263391,2000,,
AUT,263391,2001,,
AUT,263391,2002,,
AUT,263391,2003,59928,0
AUT,263391,2004,50013,0
AUT,263391,2005,40860,0
AUT,263391,2006,32612,0
AUT,263391,2007,,
AUT,263391,2008,,
AUT,263391,2009,,
AUT,263391,2010,,
AUT,263391,2011,,
AUT,263391,2012,,
AUT,263391,2013,,
AUT,263391,2014,,
AUT,263391,2015,,
AUT,263391,2016,,
AUT,263391,2017,,
AUT,263391,2018,,
AUT,26476Q,1980,,
AUT,26476Q,1981,,
AUT,26476Q,1982,,
AUT,26476Q,1983,,
AUT,26476Q,1984,,
AUT,26476Q,1985,,
AUT,26476Q,1986,,
AUT,26476Q,1987,,
AUT,26476Q,1988,,
AUT,26476Q,1989,,
AUT,26476Q,1990,,
AUT,26476Q,1991,,
AUT,26476Q,1992,,
AUT,26476Q,1993,,
AUT,26476Q,1994,,
AUT,26476Q,1995,,
AUT,26476Q,1996,,
AUT,26476Q,1997,,
AUT,26476Q,1998,,
AUT,26476Q,1999,,
AUT,26476Q,2000,,
AUT,26476Q,2001,,
AUT,26476Q,2002,,
AUT,26476Q,2003,,
AUT,26476Q,2004,,
AUT,26476Q,2005,,
AUT,26476Q,2006,,
AUT,26476Q,2007,,
AUT,26476Q,2008,,
AUT,26476Q,2009,,
AUT,26476Q,2010,,
AUT,26476Q,2011,,
AUT,26476Q,2012,,
AUT,26476Q,2013,,
AUT,26476Q,2014,,
AUT,26476Q,2015,,
AUT,26476Q,2016,,
AUT,26476Q,2017,,
AUT,26476Q,2018,,
AUT,26476R,1980,,
AUT,26476R,1981,,
AUT,26476R,1982,,
AUT,26476R,1983,,
AUT,26476R,1984,,
AUT,26476R,1985,,
AUT,26476R,1986,,
AUT,26476R,1987,,
AUT,26476R,1988,,
AUT,26476R,1989,,
AUT,26476R,1990,,
AUT,26476R,1991,,
AUT,26476R,1992,,
AUT,26476R,1993,,
AUT,26476R,1994,,
AUT,26476R,1995,,
AUT,26476R,1996,,
AUT,26476R,1997,,
AUT,26476R,1998,,
AUT,26476R,1999,,
AUT,26476R,2000,,
AUT,26476R,2001,,
AUT,26476R,2002,,
AUT,26476R,2003,,
AUT,26476R,2004,,
AUT,26476R,2005,,
AUT,26476R,2006,,
AUT,26476R,2007,,
AUT,26476R,2008,,
AUT,26476R,2009,,
AUT,26476R,2010,,
AUT,26476R,2011,,
AUT,26476R,2012,,
AUT,26476R,2013,,
AUT,26476R,2014,,
AUT,26476R,2015,,
AUT,26476R,2016,,
AUT,26476R,2017,,
AUT,26476R,2018,,
AUT,265427,1980,,
AUT,265427,1981,,
AUT,265427,1982,,
AUT,265427,1983,,
AUT,265427,1984,,
AUT,265427,1985,,
AUT,265427,1986,,
AUT,265427,1987,,
AUT,265427,1988,,
AUT,265427,1989,,
AUT,265427,1990,,
AUT,265427,1991,,
AUT,265427,1992,,
AUT,265427,1993,,
AUT,265427,1994,,
AUT,265427,1995,,
AUT,265427,1996,,
AUT,265427,1997,,
AUT,265427,1998,,
AUT,265427,1999,53,0
AUT,265427,2000,3780,-650
AUT,265427,2001,,
AUT,265427,2002,,
AUT,265427,2003,,
AUT,265427,2004,,
AUT,265427,2005,,
AUT,265427,2006,,
AUT,265427,2007,,
AUT,265427,2008,,
AUT,265427,2009,,
AUT,265427,2010,,
AUT,265427,2011,,
AUT,265427,2012,,
AUT,265427,2013,,
AUT,265427,2014,,
AUT,265427,2015,,
AUT,265427,2016,,
AUT,265427,2017,,
AUT,265427,2018,,
AUT,265429,1980,,
AUT,265429,1981,,
AUT,265429,1982,,
AUT,265429,1983,,
AUT,265429,1984,,
AUT,265429,1985,,
AUT,265429,1986,,
AUT,265429,1987,,
AUT,265429,1988,,
AUT,265429,1989,,
AUT,265429,1990,,
AUT,265429,1991,,
AUT,265429,1992,,
AUT,265429,1993,,
AUT,265429,1994,,
AUT,265429,1995,,
AUT,265429,1996,,
AUT,265429,1997,,
AUT,265429,1998,,
AUT,265429,1999,-297,
AUT,265429,2000,639,
AUT,265429,2001,,
AUT,265429,2002,,
AUT,265429,2003,,
AUT,265429,2004,,
AUT,265429,2005,,
AUT,265429,2006,,
AUT,265429,2007,,
AUT,265429,2008,,
AUT,265429,2009,,
AUT,265429,2010,,
AUT,265429,2011,,
AUT,265429,2012,,
AUT,265429,2013,,
AUT,265429,2014,,
AUT,265429,2015,,
AUT,265429,2016,,
AUT,265429,2017,,
AUT,265429,2018,,
AUT,26568V,1980,,
AUT,26568V,1981,,
AUT,26568V,1982,,
AUT,26568V,1983,,
AUT,26568V,1984,,
AUT,26568V,1985,,
AUT,26568V,1986,,
AUT,26568V,1987,,
AUT,26568V,1988,,
AUT,26568V,1989,,
AUT,26568V,1990,,
AUT,26568V,1991,,
AUT,26568V,1992,,
AUT,26568V,1993,,
AUT,26568V,1994,,
AUT,26568V,1995,,
AUT,26568V,1996,,
AUT,26568V,1997,,
AUT,26568V,1998,,
AUT,26568V,1999,,
AUT,26568V,2000,,
AUT,26568V,2001,12015,432
AUT,26568V,2002,32316,2585
AUT,26568V,2003,80616,5517
AUT,26568V,2004,194072,7130
AUT,26568V,2005,520632,9693
AUT,26568V,2006,857991,31051
AUT,26568V,2007,1386834,63037
AUT,26568V,2008,1261065,48332
AUT,26568V,2009,1269900,46200
